Song_Track,Composer,Genre,Album,Artist,Unit_Price_dollars,Total_runtime_min,song_size_Mb
Jingo,M.Babatunde Olantunji,Rock,Santana - As Years Go By,Santana,0.99,9.88,18.82
The Angel And The Gambler,Steve Harris,Rock,Virtual XI,Iron Maiden,0.99,9.88,22.61
The Outlaw Torn,"James Hetfield, Lars Ulrich",Metal,Load,Metallica,0.99,9.81,18.39
Blind Curve: Vocal Under A Bloodlight / Passing Strangers / Mylo / Perimeter Walk / Threshold,"Kelly, Mosley, Rothery, Trewaves",Rock,Misplaced Childhood,Marillion,0.99,9.5,17.72
Dream Of Mirrors,Janick Gers/Steve Harris,Rock,Brave New World,Iron Maiden,0.99,9.35,21.41
Riviera Paradise,Stevie Ray Vaughan,Blues,In Step,Stevie Ray Vaughan & Double Trouble,0.99,8.81,16.43
She Wears Black,G Harvey/R Hope-Taylor,Jazz,Blue Moods,Incognito,0.99,8.81,16.8
Locomotive,Slash/W. Axl Rose,Metal,Use Your Illusion II,Guns N' Roses,0.99,8.71,16.44
Won't Get Fooled Again (Full Length Version),John Entwistle/Pete Townshend,Rock,My Generation - The Very Best Of The Who,The Who,0.99,8.56,16.07
Flight Of The Rat,"Blackmore, Gillan, Glover, Lord, Paice",Rock,Deep Purple In Rock,Deep Purple,0.99,7.97,14.84
Bye Bye Blackbird,Miles Davis,Jazz,The Essential Miles Davis [Disc 1],Miles Davis,0.99,7.93,14.83
Nefertiti,Miles Davis,Jazz,The Essential Miles Davis [Disc 2],Miles Davis,0.99,7.89,14.76
Heaven Can Wait,Steve Harris,Metal,Somewhere in Time,Iron Maiden,0.99,7.36,10.11
Heaven Can Wait,Unknown,Rock,Live At Donington 1992 (Disc 2),Iron Maiden,0.99,7.34,10.09
Leave,Bill Berry-Peter Buck-Mike Mills-Michael Stipe,Rock,New Adventures In Hi-Fi,R.E.M.,0.99,7.3,13.76
Blood Brothers,Steve Harris,Metal,Rock In Rio [CD1],Iron Maiden,0.99,7.26,16.62
Blood Brothers,Steve Harris,Rock,Brave New World,Iron Maiden,0.99,7.24,16.57
Hard Lovin' Man,"Blackmore, Gillan, Glover, Lord, Paice",Rock,Deep Purple In Rock,Deep Purple,0.99,7.19,13.29
Fear Of The Dark,Steve Harris,Metal,A Real Live One,Iron Maiden,0.99,7.19,6.59
Layla,Clapton/Gordon,Blues,The Cream Of Clapton,Eric Clapton,0.99,7.18,13.46
Light My Fire,"Robby Krieger, Ray Manzarek, John Densmore, Jim Morrison",Rock,The Doors,The Doors,0.99,7.14,13.32
Voce Nao Entende Nada - Cotidiano,Unknown,Latin,Minha Historia,Chico Buarque,0.99,7.03,13.24
Se Liga,Unknown,Hip Hop/Rap,Os Cães Ladram Mas A Caravana Não Pára,Planet Hemp,0.99,6.84,12.93
Powerslave,Dickinson,Metal,Powerslave,Iron Maiden,0.99,6.8,9.34
Jerusalem,Roy Z,Metal,Chemical Wedding,Bruce Dickinson,0.99,6.71,12.58
Pot-Pourri N.º 4,Unknown,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius,0.99,6.54,12.52
Without You,Van Halen,Rock,Van Halen III,Van Halen,0.99,6.5,12.03
Só Tinha De Ser Com Você,Vários,Latin,Chill: Brazil (Disc 2),Antônio Carlos Jobim,0.99,6.49,12.48
Construção / Deus Lhe Pague,Unknown,Latin,Minha Historia,Chico Buarque,0.99,6.38,12.09
Manifest Destiny,Toby Smith,Electronica/Dance,The Return Of The Space Cowboy,Jamiroquai,0.99,6.37,12.09
Santa Clara Clareou,Unknown,Latin,Jorge Ben Jor 25 Anos,Jorge Ben,0.99,6.33,11.94
Brave New World,Bruce Dickinson/David Murray/Steve Harris,Rock,Brave New World,Iron Maiden,0.99,6.32,14.46
Sister Morphine,Faithfull/Jagger/Richards,Rock,No Security,The Rolling Stones,0.99,6.27,11.77
O Estrangeiro,Unknown,Latin,Minha Historia,Chico Buarque,0.99,6.24,11.9
Infinite Dreams,Steve Harris,Metal,Seventh Son of a Seventh Son,Iron Maiden,0.99,6.15,8.45
Os Alquimistas Estão Chegando,Unknown,Latin,Jorge Ben Jor 25 Anos,Jorge Ben,0.99,6.12,11.73
2 Minutes To Midnight,Smith/Dickinson,Metal,Live After Death,Iron Maiden,0.99,6.11,8.39
Let There Be Rock,AC/DC,Rock,Let There Be Rock,AC/DC,0.99,6.11,11.46
Quanta (Live),Unknown,Latin,Quanta Gente Veio Ver (Live),Gilberto Gil,0.99,5.96,11.23
'Round Midnight,Miles Davis,Jazz,The Essential Miles Davis [Disc 1],Miles Davis,0.99,5.96,11.05
Sweet Child O' Mine,Unknown,Rock,Appetite for Destruction,Guns N' Roses,0.99,5.94,5.61
Iron Maiden,Steve Harris,Rock,Rock In Rio [CD2],Iron Maiden,0.99,5.86,13.42
Wasting Love,Bruce Dickinson/Janick Gers,Rock,Fear Of The Dark,Iron Maiden,0.99,5.85,13.39
Fortuneteller,"Blackmore, Glover, Turner, Lord, Paice",Rock,Slaves And Masters,Deep Purple,0.99,5.82,10.84
Harvester Of Sorrow,James Hetfield and Lars Ulrich,Metal,...And Justice For All,Metallica,0.99,5.76,10.85
Viradouro,Dadinho/Gilbreto Gomes/Gustavo/P.C. Portugal/R. Mocoto,Latin,Sambas De Enredo 2001,Various Artists,0.99,5.74,10.95
That's The Way,Robert Plant,Rock,BBC Sessions [Disc 2] [Live],Led Zeppelin,0.99,5.72,10.73
The River (Remix),The Tea Party,Alternative & Punk,Tangents,The Tea Party,0.99,5.72,10.67
Times of Trouble,Unknown,Alternative,Temple of the Dog,Temple of the Dog,0.99,5.71,5.53
Alive,Stone Gossard,Rock,Ten,Pearl Jam,0.99,5.68,10.66
Ave Maria,Franz Schubert,Classical,A Soprano Inspired,"Britten Sinfonia, Ivor Bolton & Lesley Garrett",0.99,5.64,5.35
Wall Of Denial,Doyle Bramhall/Stevie Ray Vaughan,Blues,In Step,Stevie Ray Vaughan & Double Trouble,0.99,5.62,10.57
Wasting Love,Unknown,Rock,Live At Donington 1992 (Disc 1),Iron Maiden,0.99,5.62,7.72
You Got No Right,"Dave Kushner, Duff, Matt Sorum, Scott Weiland & Slash",Rock,Contraband,Velvet Revolver,0.99,5.59,10.48
Surrender,U2,Rock,War,U2,0.99,5.56,10.7
União Da Ilha,"Dito/Djalma Falcao/Ilha, Almir Da/Márcio André",Latin,Sambas De Enredo 2001,Various Artists,0.99,5.52,10.59
Bring'em Back Alive,Audioslave/Chris Cornell,Rock,Audioslave,Audioslave,0.99,5.49,7.55
Dirty Water Dog,Van Halen,Rock,Van Halen III,Van Halen,0.99,5.46,10.21
Saint Of Me,Jagger/Richards,Rock,No Security,The Rolling Stones,0.99,5.43,10.23
Funky Monks,Anthony Kiedis/Chad Smith/Flea/John Frusciante,Alternative & Punk,Blood Sugar Sex Magik,Red Hot Chili Peppers,0.99,5.39,10.21
If God Will Send His Angels,"Bono, The Edge, Adam Clayton, and Larry Mullen",Rock,Pop,U2,0.99,5.38,10.07
Back in the Village,Dickinson/Smith,Metal,Powerslave,Iron Maiden,0.99,5.34,7.34
Groovus Interruptus,Jim Beard,Jazz,Outbreak,Dennis Chambers,0.99,5.32,10.11
Get Up (I Feel Like Being A) Sex Machine,Bobby Byrd/James Brown/Ron Lenhoff,R&B/Soul,Sex Machine,James Brown,0.99,5.28,10.01
Onibusfobia,Unknown,Latin,Jota Quest-1995,Jota Quest,0.99,5.27,9.99
Battery,J.Hetfield/L.Ulrich,Metal,Master Of Puppets,Metallica,0.99,5.21,9.76
Believe,Unknown,Jazz,Heart of the Night,Spyro Gyra,0.99,5.18,9.84
Killers,Paul Di'Anno/Steve Harris,Rock,The Beast Live,Paul D'Ianno,0.99,5.17,9.55
Ali,Nando Reis/Samuel Rosa,Rock,Maquinarama,Skank,0.99,5.11,9.64
Corduroy,Pearl Jam & Eddie Vedder,Rock,Live On Two Legs [Live],Pearl Jam,0.99,5.09,9.53
Cigano,Unknown,Latin,Djavan Ao Vivo - Vol. 02,Djavan,0.99,5.08,9.57
Light My Way,Audioslave/Chris Cornell,Rock,Audioslave,Audioslave,0.99,5.06,6.95
Tempo Perdido,Renato Russo,Latin,Mais Do Mesmo,Legião Urbana,0.99,5.04,9.5
Phantom Lord,"James Hetfield, Lars Ulrich, Dave Mustaine",Metal,Kill 'Em All,Metallica,0.99,5.03,9.36
The Spirit Of Radio,Geddy Lee And Alex Lifeson/Geddy Lee And Neil Peart/Rush,Rock,Retrospective I (1974-1980),Rush,0.99,4.99,9.41
Midnight Blue,David Coverdale/Earl Slick,Rock,Into The Light,David Coverdale,0.99,4.98,9.3
Smooth,M. Itaal Shur & Rob Thomas,Rock,Supernatural,Santana,0.99,4.97,9.41
Loud Love,Chris Cornell,Rock,A-Sides,Soundgarden,0.99,4.96,9.21
Os Cegos Do Castelo,Titãs,Alternative & Punk,Acústico,Titãs,0.99,4.95,9.41
Walk On,"Adam Clayton, Bono, Larry Mullen, The Edge",Rock,All That You Can't Leave Behind,U2,0.99,4.94,9.35
Beira Mar,Gilberto Gil,Latin,Unplugged,Eric Clapton,0.99,4.92,9.15
The Wait,Killing Joke,Metal,Garage Inc. (Disc 2),Metallica,0.99,4.92,9.24
The Unforgettable Fire,U2,Rock,The Best Of 1980-1990,U2,0.99,4.92,9.24
Wake Up,Alanis Morissette & Glenn Ballard,Rock,Jagged Little Pill,Alanis Morissette,0.99,4.89,9.25
Out Of Exile,"Cornell, Commerford, Morello, Wilk",Alternative & Punk,Out Of Exile,Audioslave,0.99,4.85,9.07
Maybe I'm A Leo,Ian Gillan/Ian Paice/Jon Lord/Ritchie Blckmore/Roger Glover,Rock,Machine Head,Deep Purple,0.99,4.84,9.06
What Is And What Should Never Be,"Jimmy Page, Robert Plant",Rock,Led Zeppelin II,Led Zeppelin,0.99,4.8,8.94
Surrender,Unknown,Jazz,Heart of the Night,Spyro Gyra,0.99,4.79,8.99
Pini Di Roma (Pinien Von Rom) \ I Pini Della Via Appia,Unknown,Classical,Respighi:Pines of Rome,Eugene Ormandy,0.99,4.78,4.5
Fight Fire With Fire,Metallica,Metal,Ride The Lightning,Metallica,0.99,4.76,8.98
Nene 2001,Unknown,Soundtrack,Carnaval 2001,Various Artists,0.99,4.75,9.25
Planet Home,Jay Kay/Toby Smith,R&B/Soul,Synkronized,Jamiroquai,0.99,4.74,9.12
Maracatu Atômico,Chico Science,Latin,Afrociberdelia,Chico Science & Nação Zumbi,0.99,4.74,9.22
Don't Take Your Love From Me,Unknown,Jazz,Up An' Atom,Gene Krupa,0.99,4.71,8.82
Vida Boa,Fausto Nilo - Armandinho,Latin,Prenda Minha,Caetano Veloso,0.99,4.7,8.98
The Wicker Man,Adrian Smith/Bruce Dickinson/Steve Harris,Metal,Rock In Rio [CD1],Iron Maiden,0.99,4.7,10.75
Slug,"Brian Eno, Bono, Adam Clayton, The Edge & Larry Mullen Jnr.",Soundtrack,Original Soundtracks 1,Passengers,0.99,4.69,8.87
Esquinas,Unknown,Latin,Djavan Ao Vivo - Vol. 02,Djavan,0.99,4.68,8.68
Linha Do Horizonte,Vários,Latin,Chill: Brazil (Disc 2),Antônio Carlos Jobim,0.99,4.66,8.85
Be Yourself,"Cornell, Commerford, Morello, Wilk",Alternative & Punk,Out Of Exile,Audioslave,0.99,4.66,8.68
Juventude Transviada (Ao Vivo),Unknown,Latin,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller,0.99,4.64,8.76
Dr. Heckyll & Mr. Jive,Unknown,Rock,The Best Of Men At Work,Men At Work,0.99,4.64,8.69
Run Silent Run Deep,Bruce Dickinson/Steve Harris,Metal,No Prayer For The Dying,Iron Maiden,0.99,4.59,4.2
"Nabucco: Chorus, ""Va, Pensiero, Sull'ali Dorate""",Giuseppe Verdi,Classical,Great Opera Choruses,"Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti",0.99,4.58,4.29
Give Peace a Chance,Unknown,Pop,Instant Karma: The Amnesty International Campaign to Save Darfur,U2,0.99,4.58,4.24
Chão de Giz (Elba Ramalho),Unknown,Latin,Vozes do MPB,Various Artists,0.99,4.58,8.6
Childhoods End?,"Kelly, Mosley, Rothery, Trewaves",Rock,Misplaced Childhood,Marillion,0.99,4.55,8.6
200 Years Old,Frank Zappa,Rock,Bongo Fury,Frank Zappa & Captain Beefheart,0.99,4.54,8.5
Don't Go Back To Rockville,R.E.M.,Alternative & Punk,The Best Of R.E.M.: The IRS Years,R.E.M.,0.99,4.54,8.59
The Ocean,John Bonham/John Paul Jones,Rock,Houses Of The Holy,Led Zeppelin,0.99,4.52,8.44
Há Quanto Tempo,Unknown,Latin,Jota Quest-1995,Jota Quest,0.99,4.5,8.59
Losing My Religion,Bill Berry/Michael Stipe/Mike Mills/Peter Buck,Alternative & Punk,Out Of Time,R.E.M. Feat. Kate Pearson,0.99,4.48,8.47
Nightrain,Unknown,Rock,Appetite for Destruction,Guns N' Roses,0.99,4.48,4.25
Caffeine,Unknown,Alternative & Punk,Angel Dust,Faith No More,0.99,4.47,8.34
Freewheel Burning,Unknown,Metal,Living After Midnight,Judas Priest,0.99,4.43,8.31
Pretinha,Unknown,Jazz,Quanta Gente Veio ver--Bônus De Carnaval,Gilberto Gil,0.99,4.42,8.5
Dude (Looks Like A Lady),"Steven Tyler, Joe Perry, Desmond Child",Rock,Big Ones,Aerosmith,0.99,4.41,8.28
All My Life,Foo Fighters,Alternative & Punk,One By One,Foo Fighters,0.99,4.39,8.26
Set It Off,Audioslave/Chris Cornell,Rock,Audioslave,Audioslave,0.99,4.39,6.03
Cold Gin,Ace Frehley,Rock,Greatest Kiss,Kiss,0.99,4.37,8.21
Waiting On A Sign,The Tea Party,Alternative & Punk,Tangents,The Tea Party,0.99,4.37,8.16
Esperando Por Mim,Renato Russo,Latin,A TempestadeTempestade Ou O Livro Dos Dias,Legião Urbana,0.99,4.36,8.43
Every Little Thing She Does is Magic,G M Sumner,Rock,The Police Greatest Hits,The Police,0.99,4.35,8.25
Sound of a Gun,Unknown,Alternative,Revelations,Audioslave,0.99,4.34,4.04
Wanted Dread And Alive,Unknown,Reggae,Greatest Hits,Lenny Kravitz,0.99,4.34,8.27
Murders In The Rue Morgue,Steve Harris,Heavy Metal,Killers,Iron Maiden,0.99,4.31,5.92
The Witch,Unknown,Rock,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",The Cult,0.99,4.31,8.32
O Livro Dos Dias,Renato Russo,Latin,A TempestadeTempestade Ou O Livro Dos Dias,Legião Urbana,0.99,4.29,8.17
Dead Horse,Unknown,Rock,Use Your Illusion I,Guns N' Roses,0.99,4.29,4.19
"Diga Lá, Coração",Unknown,Latin,Meus Momentos,Gonzaguinha,0.99,4.27,7.9
Revolution,Unknown,Rock,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",The Cult,0.99,4.27,7.98
Prowler,Steve Harris,Metal,A Real Dead One,Iron Maiden,0.99,4.26,3.9
Pretty Noose,Chris Cornell,Rock,A-Sides,Soundgarden,0.99,4.23,7.93
Flip The Switch,Jagger/Richards,Rock,No Security,The Rolling Stones,0.99,4.21,7.95
Losfer Words,Steve Harris,Metal,Powerslave,Iron Maiden,0.99,4.21,5.79
Beijo do Olhar,Mônica Marianno,World,Demorou...,Mônica Marianno,0.99,4.21,7.98
Love Is The Colour,R. Carless,Jazz,Blue Moods,Incognito,0.99,4.19,8.03
Macô,Chico Science,Latin,Afrociberdelia,Chico Science & Nação Zumbi,0.99,4.16,7.87
Gone,Eddie Vedder,Alternative & Punk,Pearl Jam,Pearl Jam,0.99,4.16,7.78
Somebody Stole My Guitar,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",Rock,Purpendicular,Deep Purple,0.99,4.16,7.8
Whiplash,"James Hetfield, Lars Ulrich",Metal,Kill 'Em All,Metallica,0.99,4.15,7.73
Bê-a-Bá,Rodolfo,Alternative & Punk,Cesta Básica,Raimundos,0.99,4.15,7.75
As Aparências Enganam,Unknown,Latin,Elis Regina-Minha História,Elis Regina,0.99,4.12,7.64
Aquilo,Unknown,Latin,Lulu Santos - RCA 100 Anos De Música - Álbum 02,Lulu Santos,0.99,4.1,7.79
Maquinarama,Chico Amaral/Samuel Rosa,Rock,Maquinarama,Skank,0.99,4.09,7.83
Já Foi,Mônica Marianno,World,Demorou...,Mônica Marianno,0.99,4.09,7.72
