Song_Track,Composer,Genre,Album,Artist,Unit_Price_dollars,Total_runtime_min,song_size_Mb
Um Jantar Pra Dois,Unknown,Latin,The Best of Ed Motta,Ed Motta,0.99,4.07,7.65
Let's See Action,Pete Townshend,Rock,My Generation - The Very Best Of The Who,The Who,0.99,4.06,7.7
Babyface,U2; Bono,Rock,Zooropa,U2,0.99,4.03,7.57
Your Mirror,Mick Hucknall,Rock,Greatest Hits,Lenny Kravitz,0.99,4.01,7.53
Angel,Carolyn Franklin and Sonny Saunders,Rock,Greatest Hits,Lenny Kravitz,0.99,4.01,7.52
Mellowship Slinky In B Major,Anthony Kiedis/Chad Smith/Flea/John Frusciante,Alternative & Punk,Blood Sugar Sex Magik,Red Hot Chili Peppers,0.99,4.0,7.6
Song For Lorraine,Jay Beckenstein,Jazz,Morning Dance,Spyro Gyra,0.99,4.0,7.73
Sobremesa,Chico Science,Latin,Afrociberdelia,Chico Science & Nação Zumbi,0.99,4.0,7.59
You Learn,Alanis Morissette & Glenn Ballard,Rock,Jagged Little Pill,Alanis Morissette,0.99,3.99,7.46
It's Too Funky In Here,Brad Shapiro/George Jackson/Robert Miller/Walter Shaw,R&B/Soul,Sex Machine,James Brown,0.99,3.98,7.6
Palco (Live),Unknown,Latin,Quanta Gente Veio Ver (Live),Gilberto Gil,0.99,3.97,7.65
Rasul,Jeremy Wall,Jazz,Morning Dance,Spyro Gyra,0.99,3.97,7.49
Dirty Little Thing,"Dave Kushner, Duff, Keith Nelson, Matt Sorum, Scott Weiland & Slash",Rock,Contraband,Velvet Revolver,0.99,3.96,7.37
Bushleager,Stone Gossard,Rock,Riot Act,Pearl Jam,0.99,3.96,7.49
Falamansa Song,Unknown,Latin,Deixa Entrar,Falamansa,0.99,3.95,7.55
Shamrocks And Shenanigans (Boom Shalock Lock Boom/Butch Vig Mix),E. Schrody/L. Dimant,Hip Hop/Rap,House of Pain,House Of Pain,0.99,3.95,9.04
Flor De Lis,Djavan,Latin,Djavan Ao Vivo - Vol. 1,Djavan,0.99,3.94,7.44
The Pan Piper,Miles Davis,Jazz,The Essential Miles Davis [Disc 1],Miles Davis,0.99,3.9,7.24
Carnival Of Sorts,R.E.M.,Alternative & Punk,The Best Of R.E.M.: The IRS Years,R.E.M.,0.99,3.89,7.31
The Zephyr Song,"Anthony Kiedis, Flea, John Frusciante, and Chad Smith",Rock,By The Way,Red Hot Chili Peppers,0.99,3.88,7.33
Wildest Dreams,Adrian Smith/Steve Harris,Heavy Metal,Dance Of Death,Iron Maiden,0.99,3.88,8.88
O Último Romântico (Ao Vivo),Unknown,Latin,Lulu Santos - RCA 100 Anos De Música - Álbum 02,Lulu Santos,0.99,3.87,7.34
Tempus Fugit,Miles Davis,Jazz,The Essential Miles Davis [Disc 1],Miles Davis,0.99,3.86,7.2
Trac Trac,Fito Paez/Herbert Vianna,Latin,Arquivo II,Os Paralamas Do Sucesso,0.99,3.86,7.28
Flight Of The Icarus,Adrian Smith/Bruce Dickinson,Metal,Piece Of Mind,Iron Maiden,0.99,3.84,3.52
Pride (In The Name Of Love),U2,Rock,The Best Of 1980-1990,U2,0.99,3.84,7.2
When You Gonna Learn (Digeridoo),"Jay Kay/Kay, Jay",Rock,Emergency On Planet Earth,Jamiroquai,0.99,3.84,7.3
Ironic,Alanis Morissette & Glenn Ballard,Rock,Jagged Little Pill,Alanis Morissette,0.99,3.83,7.25
Elderly Woman Behind The Counter In A Small Town,Dave Abbruzzese & Jeff Ament & Stone Gossard & Mike McCready & Eddie Vedder,Rock,Live On Two Legs [Live],Pearl Jam,0.99,3.82,7.16
Angel Of Harlem,"Bono/Clayton, Adam/Mullen Jr., Larry/The Edge",Rock,Rattle And Hum,U2,0.99,3.82,7.15
Faraó Divindade Do Egito,Unknown,Latin,Olodum,Olodum,0.99,3.81,7.17
Not The Doctor,Alanis Morissette & Glenn Ballard,Rock,Jagged Little Pill,Alanis Morissette,0.99,3.79,7.25
Do The Evolution,Eddie Vedder & Stone Gossard,Rock,Live On Two Legs [Live],Pearl Jam,0.99,3.76,7.04
Milk It,Kurt Cobain,Rock,From The Muddy Banks Of The Wishkah [Live],Nirvana,0.99,3.76,7.06
Get On The Snake,Chris Cornell/Kim Thayil,Rock,A-Sides,Soundgarden,0.99,3.75,6.97
"Hail, Hail",Stone Gossard & Eddie Vedder & Jeff Ament & Mike McCready,Rock,Live On Two Legs [Live],Pearl Jam,0.99,3.73,7.02
RV,Unknown,Alternative & Punk,Angel Dust,Faith No More,0.99,3.72,6.95
Bowels Of The Devil,Unknown,Alternative & Punk,Body Count,Body Count,0.99,3.72,6.98
Enter Sandman,Apocalyptica,Metal,Plays Metallica By Four Cellos,Apocalyptica,0.99,3.7,6.95
Even Better Than The Real Thing,U2,Rock,Achtung Baby,U2,0.99,3.69,6.94
Can't Keep,Eddie Vedder,Rock,Riot Act,Pearl Jam,0.99,3.66,6.88
Seu Balancê,Paulinho Rezende/Toninho Geraes,Latin,Ao Vivo [IMPORT],Zeca Pagodinho,0.99,3.66,6.97
Come As You Are,Kurt Cobain,Rock,Nevermind,Nirvana,0.99,3.65,6.79
I'm A Greedy Man Pt.1,Charles Bobbitt/James Brown,R&B/Soul,Sex Machine,James Brown,0.99,3.63,6.92
Night Flight,John Paul Jones/Robert Plant,Rock,Physical Graffiti [Disc 2],Led Zeppelin,0.99,3.63,6.83
Suck My Kiss,Anthony Kiedis/Chad Smith/Flea/John Frusciante,Alternative & Punk,Blood Sugar Sex Magik,Red Hot Chili Peppers,0.99,3.62,6.8
Runnin' With The Devil,"Edward Van Halen, Alex Van Halen, David Lee Roth, Michael Anthony",Rock,"The Best Of Van Halen, Vol. I",Van Halen,0.99,3.6,6.73
On The Run,"Gilmour, Waters",Rock,Dark Side Of The Moon,Pink Floyd,0.99,3.58,6.87
Motéis,Unknown,Latin,Roda De Funk,Funk Como Le Gusta,0.99,3.56,6.71
Desordem,Charles Gavin/Marcelo Fromer/Sérgio Britto,Alternative & Punk,Volume Dois,Titãs,0.99,3.55,6.74
Tim Tim Por Tim Tim,Vários,Latin,Chill: Brazil (Disc 2),Antônio Carlos Jobim,0.99,3.55,6.81
Gatas Extraordinárias,Unknown,Latin,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller,0.99,3.54,6.77
The Messenger,Daniel Lanois,Alternative & Punk,Tangents,The Tea Party,0.99,3.53,6.65
Hang 'Em High,Alex Van Halen/David Lee Roth/Edward Van Halen/Michael Anthony,Rock,Diver Down,Van Halen,0.99,3.5,6.55
Lookin' For A Reason,J.C. Fogerty,Rock,"Chronicle, Vol. 2",Creedence Clearwater Revival,0.99,3.5,6.61
She Loves Me Not,Bill Gould/Mike Bordin/Mike Patton,Alternative & Punk,Album Of The Year,Faith No More,0.99,3.5,6.57
On Mercury,"Anthony Kiedis, Flea, John Frusciante, and Chad Smith",Rock,By The Way,Red Hot Chili Peppers,0.99,3.48,6.52
Domingo,Sérgio Britto/Toni Bellotto,Alternative & Punk,Volume Dois,Titãs,0.99,3.48,6.56
Springsville,J. Carisi,Jazz,Miles Ahead,Miles Davis,0.99,3.46,6.46
Sheer Heart Attack,Taylor,Rock,News Of The World,Queen,0.99,3.46,6.33
Diamante De Mendigo,Unknown,Rock,Raul Seixas,Raul Seixas,0.99,3.43,6.46
Corcovado (Quiet Nights Of Quiet Stars),Unknown,Jazz,Warner 25 Anos,Antônio Carlos Jobim,0.99,3.43,6.38
Put The Finger On You,"Angus Young, Malcolm Young, Brian Johnson",Rock,For Those About To Rock We Salute You,AC/DC,0.99,3.43,6.4
Exploder,Audioslave/Chris Cornell,Rock,Audioslave,Audioslave,0.99,3.43,4.72
Boogie Blues,Unknown,Jazz,Up An' Atom,Gene Krupa,0.99,3.4,6.3
Fast And Loose,Clarke/Kilmister/Taylor,Metal,Ace Of Spades,Motörhead,0.99,3.39,6.34
Talk About The Passion,R.E.M.,Alternative & Punk,The Best Of R.E.M.: The IRS Years,R.E.M.,0.99,3.39,6.41
Perfect,Billy Corgan,Alternative & Punk,Rotten Apples: Greatest Hits,Smashing Pumpkins,0.99,3.38,6.42
Why Go,Jeff Ament,Rock,Ten,Pearl Jam,0.99,3.34,6.24
London Calling,Joe Strummer/Mick Jones,Alternative & Punk,The Singles,The Clash,0.99,3.33,6.26
Near Wild Heaven,Bill Berry/Michael Stipe/Mike Mills/Peter Buck,Alternative & Punk,Out Of Time,R.E.M. Feat. Kate Pearson,0.99,3.33,6.3
Love Comes,"Darius ""Take One"" Minwalla/Jon Auer/Ken Stringfellow/Matt Harris",Rock,Every Kind of Light,The Posies,0.99,3.33,3.09
Take the Box,Luke Smith,Pop,Frank,Amy Winehouse,0.99,3.32,3.13
O Pulso,Titãs,Alternative & Punk,Acústico,Titãs,0.99,3.32,6.26
Redundant,Billie Joe Armstrong -Words Green Day -Music,Alternative & Punk,International Superhits,Green Day,0.99,3.3,6.18
The One I Love,R.E.M.,Alternative & Punk,The Best Of R.E.M.: The IRS Years,R.E.M.,0.99,3.29,6.19
Hot Dog,Jimmy Page & Robert Plant,Rock,In Through The Out Door,Led Zeppelin,0.99,3.29,6.23
É que Nessa Encarnação Eu Nasci Manga,Lucina/Luli,Pop,Axé Bahia 2001,Various Artists,0.99,3.28,6.26
Rollover D.J.,C. Cester/N. Cester,Alternative & Punk,Get Born,JET,0.99,3.28,6.11
Be Quick Or Be Dead,Bruce Dickinson/Janick Gers,Metal,A Real Live One,Iron Maiden,0.99,3.28,3.01
Put You Down,Jerry Cantrell,Rock,Facelift,Alice In Chains,0.99,3.27,6.12
On A Plain,Kurt Cobain,Rock,Nevermind,Nirvana,0.99,3.27,6.09
God Part II,"Bono/Clayton, Adam/Mullen Jr., Larry/The Edge",Rock,Rattle And Hum,U2,0.99,3.26,6.2
Ando Meio Desligado,Caetano Veloso,Latin,Chill: Brazil (Disc 1),Marcos Valle,0.99,3.26,6.24
Realidade Virtual,Bino Farias/Da Gama/Lazão/Toni Garrido,Reggae,Acústico MTV [Live],Cidade Negra,0.99,3.25,6.2
So Central Rain,R.E.M.,Alternative & Punk,The Best Of R.E.M.: The IRS Years,R.E.M.,0.99,3.25,6.12
Pensamento,Bino/Da Gama/Ras Bernardo,Reggae,Cidade Negra - Hits,Cidade Negra,0.99,3.21,6.1
Pau-De-Arara,"Guio De Morais E Seus ""Parentes""/Luiz Gonzaga",Soundtrack,As Canções de Eu Tu Eles,Gilberto Gil,0.99,3.19,6.05
Spank Thru,Kurt Cobain,Rock,From The Muddy Banks Of The Wishkah [Live],Nirvana,0.99,3.17,5.9
Sleep On The Sidewalk,May,Rock,News Of The World,Queen,0.99,3.12,5.82
Wrathchild,Steve Harris,Metal,Rock In Rio [CD1],Iron Maiden,0.99,3.1,7.09
Adoled (Ocean),Unknown,Hip Hop/Rap,Os Cães Ladram Mas A Caravana Não Pára,Planet Hemp,0.99,3.09,5.73
Leave Us Leap,Unknown,Jazz,Up An' Atom,Gene Krupa,0.99,3.05,5.63
We Are The Champions,Mercury,Rock,News Of The World,Queen,0.99,3.05,5.66
Spirit's in the Material World,G M Sumner,Rock,The Police Greatest Hits,The Police,0.99,3.02,5.71
Time Is On My Side,Jerry Ragavoy,Rock,"Hot Rocks, 1964-1971 (Disc 1)",The Rolling Stones,0.99,3.0,5.58
Royal Orleans,John Bonham/John Paul Jones,Rock,Presence,Led Zeppelin,0.99,2.99,5.66
Paranoid,"A. F. Iommi, W. Ward, T. Butler, J. Osbourne",Metal,Tribute,Ozzy Osbourne,0.99,2.94,5.46
Get Me Outta Here,C. Cester/N. Cester,Alternative & Punk,Get Born,JET,0.99,2.94,5.46
KKK Bitch,Unknown,Alternative & Punk,Body Count,Body Count,0.99,2.88,5.45
End Of The Night,"Robby Krieger, Ray Manzarek, John Densmore, Jim Morrison",Rock,The Doors,The Doors,0.99,2.88,5.33
O Bicho Tá Pregando,Unknown,Hip Hop/Rap,Os Cães Ladram Mas A Caravana Não Pára,Planet Hemp,0.99,2.87,5.42
Tanto Tempo,Vários,Latin,Chill: Brazil (Disc 2),Antônio Carlos Jobim,0.99,2.84,5.31
Beth,"Peter Criss, Stan Penridge, Bob Ezrin",Rock,Unplugged [Live],Kiss,0.99,2.84,5.32
Angela,Unknown,Jazz,Warner 25 Anos,Antônio Carlos Jobim,0.99,2.83,5.32
Minority,Billie Joe Armstrong -Words Green Day -Music,Alternative & Punk,International Superhits,Green Day,0.99,2.81,5.28
Flash,"May, Brian",Rock,Greatest Hits I,Queen,0.99,2.81,5.21
Think,Lowman Pauling,R&B/Soul,Sex Machine,James Brown,0.99,2.78,5.26
Carta Ao Tom 74,Unknown,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius,0.99,2.71,5.13
They Can't Take That Away From Me,george gershwin/ira gershwin,Easy Listening,My Way: The Best Of Frank Sinatra [Disc 1],Frank Sinatra,0.99,2.69,5.0
A Festa Do Santo Reis,Unknown,Latin,Serie Sem Limite (Disc 2),Tim Maia,0.99,2.66,4.96
Solar,"Milton Nascimento, Fernando Brant",Latin,Milton Nascimento Ao Vivo,Milton Nascimento,0.99,2.6,4.86
Brasil,"Milton Nascimento, Fernando Brant",Latin,Milton Nascimento Ao Vivo,Milton Nascimento,0.99,2.59,5.01
"Toccata and Fugue in D Minor, BWV 565: I. Toccata",Johann Sebastian Bach,Classical,Bach: Toccata & Fugue in D Minor,Ton Koopman,0.99,2.57,2.53
Good Riddance (Time Of Your Life),Billie Joe Armstrong -Words Green Day -Music,Alternative & Punk,International Superhits,Green Day,0.99,2.56,4.84
Minas,"Milton Nascimento, Caetano Veloso",Latin,Minas,Milton Nascimento,0.99,2.54,4.69
Não Sei O Que Eu Quero Da Vida,Unknown,Latin,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller,0.99,2.53,4.79
Break on Through,"Robby Krieger, Ray Manzarek, John Densmore, Jim Morrison",Rock,The Doors,The Doors,0.99,2.49,4.71
Die Die My Darling,Danzig,Metal,Garage Inc. (Disc 1),Metallica,0.99,2.49,4.64
Surprise! You're Dead!,Faith No More,Alternative & Punk,The Real Thing,Faith No More,0.99,2.45,4.6
The Worst,Jagger/Richards,Rock,Voodoo Lounge,The Rolling Stones,0.99,2.41,4.53
Territorial Pissings,Kurt Cobain,Rock,Nevermind,Nirvana,0.99,2.39,4.4
Got That Feeling,Mike Patton,Alternative & Punk,Album Of The Year,Faith No More,0.99,2.35,4.43
Canário Do Reino,Unknown,Latin,Serie Sem Limite (Disc 2),Tim Maia,0.99,2.32,4.34
A Banda,Unknown,Latin,Minha Historia,Chico Buarque,0.99,2.21,4.15
Black Mountain Side,Jimmy Page,Rock,Led Zeppelin I,Led Zeppelin,0.99,2.21,4.23
Hello Mary Lou,J.C. Fogerty,Rock,"Chronicle, Vol. 2",Creedence Clearwater Revival,0.99,2.21,4.27
Sangue De Bairro,Chico Science,Latin,Afrociberdelia,Chico Science & Nação Zumbi,0.99,2.2,4.21
As Rosas Não Falam (Beth Carvalho),Unknown,Latin,Vozes do MPB,Various Artists,0.99,1.95,3.66
Lords Of The Backstage,"Kelly, Mosley, Rothery, Trewaves",Rock,Misplaced Childhood,Marillion,0.99,1.88,3.57
"Concert pour 4 Parties de V**les, H. 545: I. Prelude",Marc-Antoine Charpentier,Classical,"Charpentier: Divertissements, Airs & Concerts",Les Arts Florissants & William Christie,0.99,1.84,1.88
Feirinha da Pavuna/Luz do Repente/Bagaço da Laranja,"Arlindo Cruz/Franco/Marquinhos PQD/Negro, Jovelina Pérolo/Zeca Pagodinho",Latin,Ao Vivo [IMPORT],Zeca Pagodinho,0.99,1.79,3.43
Eruption,"Edward Van Halen, Alex Van Halen, Michael Anthony and David Lee Roth",Rock,Van Halen,Van Halen,0.99,1.71,3.13
Enquanto O Mundo Explode,Chico Science,Latin,Afrociberdelia,Chico Science & Nação Zumbi,0.99,1.48,2.83
They're Red Hot,Robert Johnson,Alternative & Punk,Blood Sugar Sex Magik,Red Hot Chili Peppers,0.99,1.2,2.27
Arc,Pearl Jam,Rock,Riot Act,Pearl Jam,0.99,1.09,2.0
The Star Spangled Banner,"Hendrix, Jimi",Rock,Rattle And Hum,U2,0.99,0.72,1.32
Freedom For My People,"Mabins, Macie/Magee, Sterling/Robinson, Bobby",Rock,Rattle And Hum,U2,0.99,0.64,1.19
The Real Problem,Unknown,Alternative & Punk,Body Count,Body Count,0.99,0.19,0.37
Oprah,Unknown,Alternative & Punk,Body Count,Body Count,0.99,0.11,0.21
A Statistic,Unknown,Alternative & Punk,Body Count,Body Count,0.99,0.11,0.2
